playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
James Jones,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Brent Celek,TE,PHI,TE,PHI,null,4.0491,null,null,null,41,null,null,0.0638,null,null,null,4.5137,3.2823,4.4914,null
Jordan Palmer,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Jackie Battle,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt Moore,QB,MIA,QB,MIA,null,0.0996,null,null,null,66,null,null,0.0402,null,null,null,0.1603,0.008,3.6835,null
Matthew Mulligan,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Mike Tolbert,RB,CAR,RB,CAR,null,3.472,null,null,null,72,null,null,0.1045,null,null,null,3.792,2.9373,5.6822,null
Kellen Davis,TE,NYJ,TE,NYJ,null,3.3871,null,null,null,47,null,null,0.1052,null,null,null,4.4531,1.21,6.5628,null
Darrel Young,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Mike Wallace,WR,BAL,WR,BAL,null,7.8996,null,null,null,66,null,null,0.3404,null,null,null,9.0638,5.9647,4.938,null
Donald Brown,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Logan Paulsen,TE,CHI,TE,CHI,null,0.1226,null,null,null,108,null,null,0.1226,null,null,null,0.2695,0,null,null
Victor Cruz,WR,NYG,WR,NYG,null,5.811,null,null,null,84,null,null,0.0569,null,null,null,6.7367,3.8,5.4465,null
Jeff Cumberland,TE,SD,TE,SD,null,0.41,null,null,null,93,null,null,0.0044,null,null,null,0.3717,0.2,null,null
David Nelson,WR,PIT,WR,PIT,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Marlon Moore,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Chris Ivory,RB,JAC,RB,JAC,null,7.7168,null,null,null,47,null,null,0.7751,null,null,null,9.558,3.42,null,null
Mike Williams,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
John Conner,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Antonio Brown,WR,PIT,WR,PIT,null,25.0612,null,null,null,1,null,null,3.1238,null,null,null,26.3635,23.7517,3.8135,null
Tyler Clutts,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Andrew Hawkins,WR,CLE,WR,CLE,null,6.5571,null,null,null,75,null,null,0.1307,null,null,null,9.1757,3.96,8.2368,null
